"id","input_address","match","match_type","out_address","lat","lon","tiger_line_id","tiger_line_side","state_fips","county_fips","tract_fips","block_fips"
105,"1 MENDON ROAD APT 310, CUMBERLAND, RI, 2864","Match","Non_Exact","1 OLD MENDON RD, CUMBERLAND, RI, 02864",41.920406337,-71.4082221039999,"641073428","L","44","007","011301","3017"
106,"1 MERRILL INDUSTRIAL DRIVE, HAMPTON, NH, 3842","Match","Exact","1 MERRILL INDUSTRIAL DR, HAMPTON, NH, 03842",42.9454373550001,-70.8458456719999,"113692109","L","33","015","065010","1007"
107,"1 MESQUITE TREE LANE, MARLIN, TX, 76661","Match","Exact","1 MESQUITE TREE LN, MARLIN, TX, 76661",31.3261588460001,-96.8985496349999,"24851950","L","48","145","000300","1000"
108,"1 METROTECH CENTER N 3RD FLORR, BROOKLYN, NY, 11201","Match","Non_Exact","1 METROTECH CENTER, BROOKLYN, NY, 11201",40.69436755,-73.985244311,"59098945","R","36","047","001100","1000"
109,"1 METROTECH CENTER NORTH, BROOKLYN, NY, 11201","Match","Non_Exact","1 METROTECH CENTER, BROOKLYN, NY, 11201",40.69436755,-73.985244311,"59098945","R","36","047","001100","1000"
110,"1 MEYER TERRACE, CANTON, MA, 2021","Match","Exact","1 MEYER TER, CANTON, MA, 02021",42.1502414380001,-71.126859678,"87278800","L","25","021","415103","3001"
111,"1 MILL STREET, CAMBRIDGE, WI, 53523","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"1 MILLHOUSE CIRCLE, COLUMBIA, SC, 29223","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"1 MMAMGA WAY, MOBILE, AL, 36604","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"1 MOLLY LANE, WEST BRIDGEWATER, MA, 2379","Match","Exact","1 MOLLY LN, W BRIDGEWATER, MA, 02379",42.0439333320001,-71.050792692,"646682384","L","25","023","524101","2018"
115,"1 MONARCH WAY, DURHAM, NC, 27713","Match","Exact","1 MONARCH WAY, DURHAM, NC, 27713",35.8800771150001,-78.905123007,"71761034","L","37","063","002013","4002"
116,"1 MONROE CENTER ST NW, GRAND RAPIDS, MI, 49503","Match","Exact","1 MONROE CENTER ST NW, GRAND RAPIDS, MI, 49503",42.963719601,-85.6680354869999,"12457658","L","26","081","002000","1044"
117,"1 MONT CHATEAU ROAD, MORGANTOWN, WV, 26508","Match","Exact","1 MONT CHATEAU RD, MORGANTOWN, WV, 26508",39.661370424,-79.8513258529999,"50786629","L","54","061","011700","4059"
118,"1 MONTELENA, IRVINE, CA, 92602","Match","Exact","1 MONTELENA, IRVINE, CA, 92602",33.717893684,-117.775754126,"649783006","R","06","059","052535","1015"
119,"1 MONTVALE AVENUE, STONEHAM, MA, 2180","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"1 MONUMENT DRIVE, PRINCETON, NJ, 8540","Match","Exact","1 MONUMENT DR, PRINCETON, NJ, 08540",40.347662187,-74.6659741839999,"617910143","R","34","021","004502","2003"
121,"1 MORNINGSIDE DRIVE 414, NEW YORK, NY, 10025","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"1 MORNINGSIDE DRIVE APT 1502, NEW YORK, NY, 10025","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"1 MOSES LANE, ESSEX, MA, 1929","Match","Exact","1 MOSES LN, ESSEX, MA, 01929",42.6098849150001,-70.808147251,"624572722","L","25","009","222100","2003"
124,"1 MULBERRY LN, W LAKE HILLS, TX, 78746","Match","Exact","1 MULBERRY LN, WEST LAKE HILLS, TX, 78746",30.295090025,-97.816868292,"63990274","L","48","453","001918","3008"
125,"1 MUNICIPAL DR, MOUNT GILEAD, OH, 43338","Match","Exact","1 MUNICIPAL DR, MOUNT GILEAD, OH, 43338",40.550091303,-82.82834281,"12747698","L","39","117","965201","2107"
126,"1 MUNICIPAL DRIVE, BORDENTOWN, NJ, 8505","Match","Exact","1 MUNICIPAL DR, BORDENTOWN, NJ, 08505",40.1400974310001,-74.70354664,"134076601","R","34","005","704201","3016"
127,"1 MUNICIPAL PLAZA, BLOOMFIELD, NJ, 7003","Match","Exact","1 MUNICIPAL PLZ, BLOOMFIELD, NJ, 07003",40.792062378,-74.195121214,"63451242","R","34","013","015400","4017"
128,"1 MUNICIPAL PLAZA, CEDAR GROVE, NJ, 7009","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"1 MUNRO AVE, CAPE MAY, NJ, 8204","Match","Exact","1 MUNRO AVE, CAPE MAY, NJ, 08204",38.947752204,-74.88382182,"638520398","L","34","009","022000","3003"
130,"1 MUSTANG DRIVE, MEDINA, NY, 14103","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"1 N 10TH STREET, MILLVILLE, NJ, 8322","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"1 N 1ST ST APT 5, COCOA BEACH, FL, 32931","Match","Non_Exact","1 N 1ST ST, COCOA BEACH, FL, 32931",28.320246911,-80.608157814,"93899474","L","12","009","071700","4018"
133,"1 N 1ST ST STE 427, PHOENIX, AZ, 85004","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"1 N 1ST STREET SUITE 613, PHOENIX, AZ, 85016","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"1 N 1ST STREET SUITE 652, PHOENIX, AZ, 85004","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"1 N 2ND ST STE 122, FARGO, ND, 58102","Match","Non_Exact","1 2ND ST N, FARGO, ND, 58102",46.874505728,-96.781137466,"151481802","R","38","017","000700","2019"
137,"1 N 4TH PLACE APT 4F, BROOKLYN, NY, 11249","Match","Non_Exact","1 4TH PL, BROOKLYN, NY, 11231",40.6789007790001,-74.0017533829999,"59093792","L","36","047","006500","5001"
138,"1 N ALLYSON PL, VASS, NC, 28394","Match","Exact","1 ALLYSON PL, VASS, NC, 28394",35.2488098900001,-79.292154904,"617917780","L","37","125","950507","1046"
139,"1 N BRENTWOOD BLVD SUITE 800, CLAYTON, MO, 63105","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"1 N CHARLES ST STE 1101, BALTIMORE, MD, 21201","Match","Non_Exact","1 S CHARLES ST, BALTIMORE, MD, 21201",39.289499607,-76.6152059039999,"640498593","L","24","510","040100","3053"
141,"1 N CHARLES STREET SUITE 350, BALTIMORE, MD, 21201","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"1 N COMMERCE PARK DR STE 325, CINCINNATI, OH, 45215","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"1 N DETROIT STREET, KENTON, OH, 43326","Match","Exact","1 N DETROIT ST, KENTON, OH, 43326",40.6480910060001,-83.60924434,"36523061","L","39","065","000600","1001"
144,"1 N FRANKLIN ST UNIT 3, MONTPELIER, VT, 5602","Match","Exact","1 FRANKLIN ST, MONTPELIER, VT, 05602",44.2627812050001,-72.570265041,"136666003","R","50","023","954700","2015"
145,"1 N FRONT ST, HUDSON, NY, 12534","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"1 N HARMON DR, MITCHELL, SD, 57301","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,"1 N LASALLE STREET, CHICAGO, IL, 60602","Match","Non_Exact","1 N LA SALLE ST, CHICAGO, IL, 60602",41.8820140070001,-87.6323495729999,"111768731","R","17","031","839100","1060"
148,"1 N MAIN ST SUITE 4, MILPITAS, CA, 95035","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,"1 N NEW YORK RD- SUITE 39, GALLOWAY, NJ, 8205","Match","Non_Exact","1 NEW YORK RD, GALLOWAY, NJ, 08205",39.4839553620001,-74.4591081849999,"642899318","L","34","001","010501","3019"
150,"1 N OAK ST, ARAGON, GA, 30104","Match","Exact","1 OAK ST, ARAGON, GA, 30104",34.047263677,-85.0560876059999,"29622356","L","13","233","010100","2014"
151,"1 N OAK ST, PALATINE, IL, 60067","Match","Exact","1 N OAK ST, PALATINE, IL, 60067",42.1103927930001,-88.0388847739999,"111696182","R","17","031","803800","4016"
152,"1 N OLD STATE CAPITOL PLAZA, SPRINGFIELD, IL, 62701","Match","Exact","1 N OLD STATE CAPITOL PLZ, SPRINGFIELD, IL, 62701",39.8017248720001,-89.6491809199999,"97325169","L","17","167","001400","1008"
153,"1 N TOWER ROAD, OAK BROOK, IL, 60523","Match","Exact","1 N TOWER RD, OAK BROOK, IL, 60523",41.84503733,-87.98820048,"649654052","R","17","043","844306","2014"
154,"1 N WACKER DRIVE SUITE 4600, CHICAGO, IL, 60606","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,"1 N WILLARD STREET, COTTONWOOD, AZ, 86326","Match","Exact","1 N WILLARD ST, COTTONWOOD, AZ, 86326",34.7431723660001,-112.02705743,"159452740","R","04","025","002001","3024"
156,"1 NANCY COURT, MANHASSET, NY, 11030","Match","Exact","1 NANCY CT, MANHASSET, NY, 11030",40.8148812530001,-73.686523052,"147659454","L","36","059","301600","3003"
157,"1 NARA RIDGE RD, ACTON, MA, 1720","Match","Exact","1 NARA RIDGE RD, ACTON, MA, 01720",42.5133932960001,-71.4115668589999,"646768667","R","25","017","363106","2014"
158,"1 NARCISSA DRIVE, RANCHO PALOS VERDES, CA, 90275","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,"1 NATIONAL LIFE DR, MONTPELIER, VT, 5633","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,"1 NATIONAL LIFE DRIVE, MONTPELIER, VT, 5633","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,"1 NATURE VIEW LANE, SCARBOROUGH, ME, 4074","Match","Non_Exact","1 NATUREVIEW LN, SCARBOROUGH, ME, 04074",43.5799450690001,-70.416135133,"624357645","R","23","005","017306","1010"
162,"1 NECCO ROAD, MANSFIELD, MA, 2048","Match","Exact","1 NECCO RD, MANSFIELD, MA, 02048",42.020642448,-71.163530663,"46783095","L","25","005","610203","4000"
